,timestamp,symbol,vwap,delayed_trade_date
213,2022-08-10 15:00:00,MSFT,288.882477,2022-08-10 00:00:00
214,2022-08-10 15:00:00,TNXP,1.444526,2022-08-10 00:00:00
215,2022-08-10 15:00:00,F,15.454578,2022-08-10 00:00:00
212,2022-08-10 15:00:00,CSBR,9.5,2022-08-10 00:00:00
217,2022-08-10 15:00:00,AAPL,167.950618,2022-08-10 00:00:00
218,2022-08-10 15:00:00,PUBM,22.860347,2022-08-10 00:00:00
219,2022-08-10 15:00:00,REFR,2.015439,2022-08-10 00:00:00
216,2022-08-10 15:00:00,RUBY,0.799004,2022-08-10 00:00:00
342,2022-08-10 16:00:00,MELI,1053.395553,2022-08-10 00:00:00
349,2022-08-10 16:00:00,OPEN,6.048568,2022-08-10 00:00:00
348,2022-08-10 16:00:00,STIM,4.444288,2022-08-10 00:00:00
347,2022-08-10 16:00:00,ALNA,0.129988,2022-08-10 00:00:00
346,2022-08-10 16:00:00,EHTH,7.795627,2022-08-10 00:00:00
345,2022-08-10 16:00:00,EIGR,9.378292,2022-08-10 00:00:00
350,2022-08-10 16:00:00,LTRPB,27.640199,2022-08-10 00:00:00
344,2022-08-10 16:00:00,NFLX,242.764521,2022-08-10 00:00:00
343,2022-08-10 16:00:00,CAPR,4.507279,2022-08-10 00:00:00
341,2022-08-10 16:00:00,EYES,1.988375,2022-08-10 00:00:00
336,2022-08-10 16:00:00,CFRX,0.280193,2022-08-10 00:00:00
339,2022-08-10 16:00:00,BTCUSD,0.0,2022-08-10 00:00:00
338,2022-08-10 16:00:00,META,178.922538,2022-08-10 00:00:00
337,2022-08-10 16:00:00,INTU,476.675488,2022-08-10 00:00:00
335,2022-08-10 16:00:00,UPST,32.330421,2022-08-10 00:00:00
334,2022-08-10 16:00:00,OKTA,106.353869,2022-08-10 00:00:00
333,2022-08-10 16:00:00,CDK,0.0,2022-08-10 00:00:00
332,2022-08-10 16:00:00,MBCN,27.471555,2022-08-10 00:00:00
331,2022-08-10 16:00:00,AAP,194.44942,2022-08-10 00:00:00
352,2022-08-10 16:00:00,OILK,48.455294,2022-08-10 00:00:00
340,2022-08-10 16:00:00,LWAY,5.704527,2022-08-10 00:00:00
353,2022-08-10 16:00:00,PLRX,21.298616,2022-08-10 00:00:00
330,2022-08-10 16:00:00,SNGX,0.85216,2022-08-10 00:00:00
355,2022-08-10 16:00:00,GNLN,3.658067,2022-08-10 00:00:00
375,2022-08-10 16:00:00,KIRK,3.194918,2022-08-10 00:00:00
374,2022-08-10 16:00:00,PRCH,2.896275,2022-08-10 00:00:00
373,2022-08-10 16:00:00,EAR,1.004348,2022-08-10 00:00:00
372,2022-08-10 16:00:00,BTCUSDT,24032.015103,2022-08-10 00:00:00
371,2022-08-10 16:00:00,NVDA,178.729818,2022-08-10 00:00:00
370,2022-08-10 16:00:00,DOCU,75.258025,2022-08-10 00:00:00
369,2022-08-10 16:00:00,MANT,95.718814,2022-08-10 00:00:00
368,2022-08-10 16:00:00,ZM,111.037266,2022-08-10 00:00:00
367,2022-08-10 16:00:00,TSLA,870.577545,2022-08-10 00:00:00
354,2022-08-10 16:00:00,COGT,13.884807,2022-08-10 00:00:00
366,2022-08-10 16:00:00,BIOL,5.328759,2022-08-10 00:00:00
364,2022-08-10 16:00:00,HYRE,0.952635,2022-08-10 00:00:00
363,2022-08-10 16:00:00,REAL,3.030683,2022-08-10 00:00:00
362,2022-08-10 16:00:00,INZY,3.546029,2022-08-10 00:00:00
361,2022-08-10 16:00:00,DBVT,2.752214,2022-08-10 00:00:00
360,2022-08-10 16:00:00,FTNT,54.017958,2022-08-10 00:00:00
359,2022-08-10 16:00:00,PLBC,32.9,2022-08-10 00:00:00
358,2022-08-10 16:00:00,ECOR,0.66024,2022-08-10 00:00:00
357,2022-08-10 16:00:00,AAL,15.225557,2022-08-10 00:00:00
356,2022-08-10 16:00:00,ADTX,0.162312,2022-08-10 00:00:00
365,2022-08-10 16:00:00,ETSY,115.608981,2022-08-10 00:00:00
329,2022-08-10 16:00:00,TTD,74.130055,2022-08-10 00:00:00
351,2022-08-10 16:00:00,AMD,98.255816,2022-08-10 00:00:00
327,2022-08-10 16:00:00,PTON,11.933795,2022-08-10 00:00:00
302,2022-08-10 16:00:00,FANG,126.289702,2022-08-10 00:00:00
301,2022-08-10 16:00:00,LHCG,162.5112,2022-08-10 00:00:00
300,2022-08-10 16:00:00,FTMUSD,0.0,2022-08-10 00:00:00
299,2022-08-10 16:00:00,RYTM,21.991106,2022-08-10 00:00:00
298,2022-08-10 16:00:00,CREX,0.66722,2022-08-10 00:00:00
297,2022-08-10 16:00:00,BIMI,0.567406,2022-08-10 00:00:00
296,2022-08-10 16:00:00,ALRN,0.176349,2022-08-10 00:00:00
295,2022-08-10 16:00:00,CDLX,16.03453,2022-08-10 00:00:00
294,2022-08-10 16:00:00,ADVM,1.495347,2022-08-10 00:00:00
293,2022-08-10 16:00:00,BDSX,2.622812,2022-08-10 00:00:00
292,2022-08-10 16:00:00,WEAT,8.385439,2022-08-10 00:00:00
291,2022-08-10 16:00:00,AVGO,545.991959,2022-08-10 00:00:00
290,2022-08-10 16:00:00,VERU,11.567962,2022-08-10 00:00:00
289,2022-08-10 16:00:00,AGLE,0.454247,2022-08-10 00:00:00
288,2022-08-10 16:00:00,TTOO,0.138517,2022-08-10 00:00:00
287,2022-08-10 16:00:00,TTNP,1.302802,2022-08-10 00:00:00
286,2022-08-10 16:00:00,OEG,0.0,2022-08-10 00:00:00
285,2022-08-10 16:00:00,CRWD,198.596422,2022-08-10 00:00:00
284,2022-08-10 16:00:00,VRM,1.641636,2022-08-10 00:00:00
283,2022-08-10 16:00:00,OPTN,3.599735,2022-08-10 00:00:00
282,2022-08-10 16:00:00,AMZN,142.395189,2022-08-10 00:00:00
303,2022-08-10 16:00:00,IDRA,0.468994,2022-08-10 00:00:00
304,2022-08-10 16:00:00,LYRA,6.52191,2022-08-10 00:00:00
328,2022-08-10 16:00:00,APPS,23.666204,2022-08-10 00:00:00
326,2022-08-10 16:00:00,ROKU,80.894879,2022-08-10 00:00:00
325,2022-08-10 16:00:00,MGTA,1.643017,2022-08-10 00:00:00
324,2022-08-10 16:00:00,CAR,189.413226,2022-08-10 00:00:00
323,2022-08-10 16:00:00,GOCO,0.604551,2022-08-10 00:00:00
322,2022-08-10 16:00:00,SAL,23.382917,2022-08-10 00:00:00
321,2022-08-10 16:00:00,ONVO,3.309313,2022-08-10 00:00:00
319,2022-08-10 16:00:00,AXLA,2.337066,2022-08-10 00:00:00
318,2022-08-10 16:00:00,PRAX,4.592458,2022-08-10 00:00:00
317,2022-08-10 16:00:00,ENDP,0.397418,2022-08-10 00:00:00
316,2022-08-10 16:00:00,LOGC,0.576365,2022-08-10 00:00:00
320,2022-08-10 16:00:00,UUP,28.083827,2022-08-10 00:00:00
314,2022-08-10 16:00:00,UUUU,6.897593,2022-08-10 00:00:00
315,2022-08-10 16:00:00,CORN,25.210893,2022-08-10 00:00:00
307,2022-08-10 16:00:00,MSFT,288.089119,2022-08-10 00:00:00
