,symbol,size,date_time_unix,date_time_utc,date_time_utc_full_hour
3,TCOM,0.03,1643757606,2022-02-01 18:20:06+00:00,2022-02-01 19:00:00+00:00
4,EWZ,0.03,1643757606,2022-02-01 18:20:06+00:00,2022-02-01 19:00:00+00:00
5,SPGI,0.02,1643757606,2022-02-01 18:20:06+00:00,2022-02-01 19:00:00+00:00
6,CVNA,0.02,1643757606,2022-02-01 18:20:06+00:00,2022-02-01 19:00:00+00:00
7,LAD,0,1643757606,2022-02-01 18:20:06+00:00,2022-02-01 19:00:00+00:00
8,FWONK,0.01,1643757606,2022-02-01 18:20:06+00:00,2022-02-01 19:00:00+00:00
9,SQ,0.015,1643757606,2022-02-01 18:20:06+00:00,2022-02-01 19:00:00+00:00
0,CRON,0.05,1644422010,2022-02-09 10:53:30+00:00,2022-02-09 11:00:00+00:00
1,MJ,0.02,1644422010,2022-02-09 10:53:30+00:00,2022-02-09 11:00:00+00:00
0,GNOM,0.02,1644501543,2022-02-10 08:59:03+00:00,2022-02-10 09:00:00+00:00
1,QQQ,-0.4,1644501543,2022-02-10 08:59:03+00:00,2022-02-10 09:00:00+00:00
2,UNG,0.02,1644501543,2022-02-10 08:59:03+00:00,2022-02-10 09:00:00+00:00
0,TECK,0.01,1644502848,2022-02-10 09:20:48+00:00,2022-02-10 10:00:00+00:00
0,GDXJ,0.03,1645108633,2022-02-17 09:37:13+00:00,2022-02-17 10:00:00+00:00
1,SILJ,0.02,1645108633,2022-02-17 09:37:13+00:00,2022-02-17 10:00:00+00:00
2,GDX,0.02,1645108633,2022-02-17 09:37:13+00:00,2022-02-17 10:00:00+00:00
3,NG,0.015,1645108633,2022-02-17 09:37:13+00:00,2022-02-17 10:00:00+00:00
0,XOM,0.02,1645108860,2022-02-17 09:41:00+00:00,2022-02-17 10:00:00+00:00
1,PBR,0.01,1645108860,2022-02-17 09:41:00+00:00,2022-02-17 10:00:00+00:00
2,GRBK,0.02,1645108860,2022-02-17 09:41:00+00:00,2022-02-17 10:00:00+00:00
0,BABA,0.05,1645110830,2022-02-17 10:13:50+00:00,2022-02-17 11:00:00+00:00
1,BIDU,0.04,1645110830,2022-02-17 10:13:50+00:00,2022-02-17 11:00:00+00:00
2,NOAH,0.04,1645110830,2022-02-17 10:13:50+00:00,2022-02-17 11:00:00+00:00
0,UNG,0,1645650156,2022-02-23 16:02:36+00:00,2022-02-23 17:00:00+00:00
1,XOM,0,1645650156,2022-02-23 16:02:36+00:00,2022-02-23 17:00:00+00:00
2,PBR,0,1645650156,2022-02-23 16:02:36+00:00,2022-02-23 17:00:00+00:00
0,CVX,0.01,1645650277,2022-02-23 16:04:37+00:00,2022-02-23 17:00:00+00:00
1,INTC,0.025,1645650277,2022-02-23 16:04:37+00:00,2022-02-23 17:00:00+00:00
2,CLOU,0.01,1645650277,2022-02-23 16:04:37+00:00,2022-02-23 17:00:00+00:00
3,PLTR,0.01,1645650277,2022-02-23 16:04:37+00:00,2022-02-23 17:00:00+00:00
0,URA,0.04,1645650466,2022-02-23 16:07:46+00:00,2022-02-23 17:00:00+00:00
0,PYPL,0.02,1645715001,2022-02-24 10:03:21+00:00,2022-02-24 11:00:00+00:00
1,QQQ,-0.35,1645715001,2022-02-24 10:03:21+00:00,2022-02-24 11:00:00+00:00
2,TWTR,0.02,1645715001,2022-02-24 10:03:21+00:00,2022-02-24 11:00:00+00:00
0,AMZN,0.05,1646246896,2022-03-02 13:48:16+00:00,2022-03-02 14:00:00+00:00
1,GOOG,0.05,1646246896,2022-03-02 13:48:16+00:00,2022-03-02 14:00:00+00:00
2,MSFT,0.05,1646246896,2022-03-02 13:48:16+00:00,2022-03-02 14:00:00+00:00
0,TBT,0.05,1646319151,2022-03-03 09:52:31+00:00,2022-03-03 10:00:00+00:00
1,CVX,0,1646319151,2022-03-03 09:52:31+00:00,2022-03-03 10:00:00+00:00
2,QQQ,-0.45,1646319151,2022-03-03 09:52:31+00:00,2022-03-03 10:00:00+00:00
0,ABEV,-0.02,1646757263,2022-03-08 11:34:23+00:00,2022-03-08 12:00:00+00:00
0,SNOW,0.02,1646845027,2022-03-09 11:57:07+00:00,2022-03-09 12:00:00+00:00
1,ARKF,0.05,1646845027,2022-03-09 11:57:07+00:00,2022-03-09 12:00:00+00:00
2,FXI,0.05,1646845027,2022-03-09 11:57:07+00:00,2022-03-09 12:00:00+00:00
0,DLTR,0.02,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
1,EWZ,0.05,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
2,SPGI,0,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
3,VALE,0,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
4,CME,0,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
5,FB,0,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
6,NG,0.02,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
7,TSM,0.01,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
8,AGRO,0,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
9,SQ,0,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
10,ITUB,0,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
11,TECK,0,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
12,FWONK,0,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
13,MLM,0,1646845548,2022-03-09 12:05:48+00:00,2022-03-09 13:00:00+00:00
0,URA,0.05,1646846422,2022-03-09 12:20:22+00:00,2022-03-09 13:00:00+00:00
1,GDXJ,0.05,1646846422,2022-03-09 12:20:22+00:00,2022-03-09 13:00:00+00:00
2,SLV,0.05,1646846422,2022-03-09 12:20:22+00:00,2022-03-09 13:00:00+00:00
3,GDX,0.03,1646846422,2022-03-09 12:20:22+00:00,2022-03-09 13:00:00+00:00
